Heart_Rate,Time
808,20:08:10
833,20:08:10
859,20:08:10
876,20:08:10
887,20:08:10
888,20:08:10
884,20:08:10
872,20:08:10
855,20:08:10
835,20:08:10
813,20:08:10
793,20:08:10
779,20:08:10
765,20:08:10
755,20:08:10
748,20:08:10
744,20:08:10
744,20:08:10
743,20:08:10
741,20:08:10
739,20:08:10
739,20:08:10
735,20:08:10
736,20:08:10
730,20:08:10
724,20:08:10
721,20:08:10
716,20:08:10
716,20:08:10
718,20:08:10
724,20:08:10
729,20:08:10
735,20:08:10
734,20:08:10
743,20:08:10
742,20:08:10
743,20:08:10
742,20:08:10
740,20:08:10
738,20:08:10
734,20:08:10
729,20:08:10
724,20:08:10
718,20:08:10
714,20:08:10
714,20:08:10
720,20:08:10
729,20:08:10
740,20:08:10
757,20:08:10
776,20:08:10
791,20:08:10
803,20:08:10
809,20:08:10
808,20:08:10
805,20:08:10
799,20:08:10
790,20:08:10
781,20:08:10
775,20:08:10
763,20:08:10
747,20:08:10
733,20:08:10
724,20:08:10
718,20:08:10
712,20:08:10
710,20:08:10
711,20:08:10
712,20:08:10
714,20:08:10
711,20:08:10
712,20:08:10
713,20:08:10
717,20:08:10
719,20:08:10
723,20:08:10
725,20:08:10
730,20:08:10
732,20:08:10
736,20:08:10
740,20:08:10
744,20:08:10
753,20:08:10
759,20:08:10
759,20:08:10
756,20:08:10
751,20:08:10
747,20:08:10
740,20:08:10
733,20:08:10
728,20:08:10
725,20:08:10
724,20:08:10
721,20:08:10
725,20:08:10
730,20:08:10
736,20:08:10
742,20:08:10
750,20:08:10
757,20:08:10
764,20:08:10
769,20:08:10
777,20:08:10
786,20:08:10
788,20:08:10
781,20:08:10
771,20:08:10
756,20:08:10
745,20:08:10
732,20:08:10
726,20:08:10
725,20:08:10
722,20:08:10
724,20:08:10
728,20:08:10
735,20:08:10
739,20:08:10
743,20:08:10
746,20:08:10
750,20:08:10
753,20:08:10
754,20:08:10
753,20:08:10
752,20:08:10
751,20:08:10
755,20:08:10
755,20:08:10
762,20:08:10
760,20:08:10
760,20:08:10
759,20:08:10
755,20:08:10
753,20:08:10
754,20:08:10
753,20:08:10
753,20:08:10
748,20:08:10
745,20:08:10
744,20:08:10
741,20:08:10
736,20:08:10
737,20:08:10
738,20:08:10
738,20:08:10
743,20:08:10
743,20:08:10
745,20:08:10
750,20:08:10
759,20:08:10
767,20:08:10
775,20:08:10
785,20:08:10
793,20:08:10
801,20:08:10
803,20:08:10
801,20:08:10
797,20:08:10
791,20:08:10
786,20:08:10
778,20:08:10
770,20:08:10
756,20:08:10
745,20:08:10
736,20:08:10
732,20:08:10
727,20:08:10
723,20:08:10
721,20:08:10
720,20:08:10
719,20:08:10
718,20:08:10
721,20:08:10
728,20:08:10
735,20:08:10
741,20:08:10
744,20:08:10
747,20:08:10
746,20:08:10
747,20:08:10
747,20:08:10
747,20:08:10
747,20:08:10
746,20:08:10
745,20:08:10
744,20:08:10
743,20:08:10
743,20:08:10
742,20:08:10
741,20:08:10
743,20:08:10
740,20:08:10
740,20:08:10
742,20:08:10
742,20:08:10
742,20:08:10
743,20:08:10
742,20:08:10
744,20:08:10
753,20:08:10
765,20:08:10
776,20:08:10
786,20:08:10
791,20:08:10
793,20:08:10
793,20:08:10
790,20:08:10
785,20:08:10
781,20:08:10
776,20:08:10
772,20:08:10
766,20:08:10
761,20:08:10
757,20:08:10
755,20:08:10
753,20:08:10
757,20:08:10
753,20:08:10
756,20:08:10
753,20:08:10
756,20:08:10
760,20:08:10
762,20:08:10
764,20:08:10
765,20:08:10
761,20:08:10
762,20:08:10
762,20:08:10
761,20:08:10
761,20:08:10
761,20:08:10
758,20:08:10
753,20:08:10
751,20:08:10
750,20:08:10
752,20:08:10
755,20:08:10
761,20:08:10
762,20:08:10
764,20:08:10
762,20:08:10
759,20:08:10
758,20:08:10
755,20:08:10
754,20:08:10
751,20:08:10
751,20:08:10
750,20:08:10
754,20:08:10
757,20:08:10
768,20:08:10
777,20:08:10
787,20:08:10
795,20:08:10
805,20:08:10
809,20:08:10
812,20:08:10
814,20:08:10
809,20:08:10
806,20:08:10
802,20:08:10
802,20:08:10
798,20:08:10
793,20:08:10
789,20:08:10
779,20:08:10
772,20:08:10
767,20:08:10
763,20:08:10
765,20:08:10
763,20:08:10
767,20:08:10
771,20:08:10
776,20:08:10
778,20:08:10
783,20:08:10
785,20:08:10
788,20:08:10
793,20:08:10
791,20:08:10
788,20:08:10
785,20:08:10
777,20:08:10
775,20:08:10
774,20:08:10
774,20:08:10
775,20:08:10
776,20:08:10
779,20:08:10
783,20:08:10
783,20:08:10
782,20:08:10
781,20:08:10
774,20:08:10
768,20:08:10
762,20:08:10
756,20:08:10
756,20:08:10
756,20:08:10
757,20:08:10
758,20:08:10
758,20:08:10
762,20:08:10
769,20:08:10
781,20:08:10
794,20:08:10
810,20:08:10
820,20:08:10
828,20:08:10
833,20:08:10
840,20:08:10
840,20:08:10
837,20:08:10
831,20:08:10
825,20:08:10
819,20:08:10
814,20:08:10
809,20:08:10
803,20:08:10
795,20:08:10
788,20:08:10
780,20:08:10
780,20:08:10
781,20:08:10
783,20:08:10
790,20:08:10
796,20:08:10
800,20:08:10
800,20:08:10
800,20:08:10
800,20:08:10
798,20:08:10
